% Model:              nanoholes_c_mesh.mph
% Version:            COMSOL 6.0.0.405
% Date:               Mar 26 2024, 22:16
% Table:              Table 1 - Global Evaluation 2
% c_mesh                 freq (THz)               reflection (1)           transmission (1)         reflection_phi (rad)     transmission_phi (rad)   reflection (1)           transmission (1)         reflection_phi (rad)     transmission_phi (rad)
1                        304.66713211382114       0.6728339679574381       0.32716603204254663      -3.029429292865067       1.3616813339706684       0.6728339679574381       0.32716603204254663      -3.029429292865067       1.3616813339706684
2                        304.66713211382114       0.7669652153963042       0.2330347846037605       3.008183887737078        0.8114598690377097       0.7669652153963042       0.2330347846037605       3.008183887737078        0.8114598690377097
3                        304.66713211382114       0.7854110370128647       0.21458896298699465      3.0462086271590674       0.7036502026989981       0.7854110370128647       0.21458896298699465      3.0462086271590674       0.7036502026989981
4                        304.66713211382114       0.7844309071771243       0.21556909282283018      3.04530667766249         0.688886913503466        0.7844309071771243       0.21556909282283018      3.04530667766249         0.688886913503466
5                        304.66713211382114       0.7835714200510381       0.21642857994896783      3.0463826476958378       0.682162469738024        0.7835714200510381       0.21642857994896783      3.0463826476958378       0.682162469738024
6                        304.66713211382114       0.7831558799762224       0.2168441200237895       3.046202207017883        0.6809606528900354       0.7831558799762224       0.2168441200237895       3.046202207017883        0.6809606528900354
7                        304.66713211382114       0.7836341800846528       0.21636581991533882      3.0463362386857877       0.6816113754277554       0.7836341800846528       0.21636581991533882      3.0463362386857877       0.6816113754277554
8                        304.66713211382114       0.7837506017010543       0.2162493982989408       3.046341175697547        0.681997887141707        0.7837506017010543       0.2162493982989408       3.046341175697547        0.681997887141707
9                        304.66713211382114       0.7838324001757204       0.21616759982226888      3.046403402511656        0.6821172267476007       0.7838324001757204       0.21616759982226888      3.046403402511656        0.6821172267476007
10                       304.66713211382114       0.7839098812909902       0.2160901187090003       3.046441946005179        0.6822767051802018       0.7839098812909902       0.2160901187090003       3.046441946005179        0.6822767051802018
11                       304.66713211382114       0.7839501161991878       0.2160498838002499       3.0464706434250672       0.6823688951829314       0.7839501161991878       0.2160498838002499       3.0464706434250672       0.6823688951829314
12                       304.66713211382114       0.7840134534362542       0.2159865465637885       3.046520093764639        0.6824812790721911       0.7840134534362542       0.2159865465637885       3.046520093764639        0.6824812790721911
13                       304.66713211382114       0.7840326855529277       0.21596731444707618      3.046536364187911        0.6825183060785862       0.7840326855529277       0.21596731444707618      3.046536364187911        0.6825183060785862
14                       304.66713211382114       0.7840596198079637       0.21594038019255313      3.046557985863122        0.6825896172621398       0.7840596198079637       0.21594038019255313      3.046557985863122        0.6825896172621398
15                       304.66713211382114       0.7840780843811596       0.2159219156190752       3.0465680779776334       0.6826298993161762       0.7840780843811596       0.2159219156190752       3.0465680779776334       0.6826298993161762
16                       304.66713211382114       0.7840944328991213       0.2159055671008071       3.0465818838272654       0.6826535024987922       0.7840944328991213       0.2159055671008071       3.0465818838272654       0.6826535024987922
